SaturateEnable,1
SaturateLevel,0.7
,
HalfLambertShadowSaturation,2.0
,
GaussianEnable,0
GaussianSampleSize,101
GaussianStrength,1.0
MaskedGaussianEnable,0
MaskedGaussianMaskPath,
,
FXAAEnable,0
FXAAQuality,4
TAAEnable,0
TAAHistoryWeight,0.85
,
MotionBlurCameraEnable,0
MotionBlurCameraQuality,4
MotionBlurCameraMaxBlurPixels,24
MotionBlurCameraSampleCount,13
CameraNear,0.1
CameraFar,30000.0
RenderQuality,LOW
GBufferNear,0.1
GBufferFar,30000.0
,
SSSEnable,0
SSSIntensity,1.0
SSSColorR,1.0
SSSColorG,1.0
SSSColorB,0.5
,
FogEnable,0
FogIntensity,1.0
,
DepthBufferShadowEnable,0
ShadowIntensity,0.25
ShadowCoverage,0.05
ShadowSaturationBoost,0.5
ShadowPcfTapCount,1
ShadowCompositeTapCount,1
,
SSAOEnable,0
SSAOBlurEnable,1
SSAOSeparableBlurEnable,1
SSAORandomSamplingDirectionEnable,1
SSAODepthScaledSampleDistanceEnable,0
SSAOMaxDarknessClampEnable,0
SSAOTexSize,1/1
SSAOCompositeGaussian3x3Enable,0
SSAOShadowStrength,1.0
SSAOShadowSaturationBoost,0.30
SSAOSampleCount,8
SSAOSampleRadius,1.0
SSAOBlurKernelSize,21
,
SSGIEnable,0
SSGIBlurEnable,1
SSGISeparableBlurEnable,1
SSGIDepthScaledSampleDistanceEnable,0
SSGIUseThickness,1
SSGITexSize,1/1
SSGISampleCount,16
SSGISampleRadius,1.0
SSGIBlurKernelSize,21
SSGIIndirectLightStrength,1.0
SSGIIndirectLightMaxContribution,1.0
,
SpecularIntensity,0.1
SpecularIntensityOverride,0
FresnelIntensity,0.08
PhongTreatTextureAsWhite,0
,
BloomEnable,0
BloomThreshold,1.0
BloomWeightSum,1.0
HaloEnable,0
HaloThreshold,1.0
PostEffectAAEnable,0
,
StarBurstEnable,0
StarBurstThreshold,0.6
StarBurstDistanceFade,0.0
,
DepthOfFieldMode,0
DepthOfFieldFocalDistance,3.0
DepthOfFieldStartNear,1.0
DepthOfFieldMaxBlurDistance,8.0
DepthOfFieldAutoActivationDistance,3.0
,
ModelLoadScale,1.0
,
SunLightIntensity,1.0
,
FogHeightEnable,0
FogHeightIntensity,0.3
FogHeightStart,0.0
FogHeightMax,-5.0
FogHeightDistanceStart,0.0
FogHeightDistanceMax,20.0
,
GodRayEnable,0
GodRayLightColorR,1.0
GodRayLightColorG,0.9
GodRayLightColorB,0.8
GodRayIntensity,0.1
GodRayVirtualProximityStrength,1.5
GodRayLightPosX,1000.0
GodRayLightPosY,100.0
GodRayLightPosZ,1000.0
,
CameraNear,0.1
CameraFar,30000.0
GBufferNear,0.1
GBufferFar,30.0
,
